City No.,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,provideniya,64.3833,-173.3,16.75,85.0,19.0,7.76,RU,1635150464.0
84,dalbandin,28.8947,64.4101,81.77,11.0,0.0,17.16,PK,1635150465.0
85,port blair,11.6667,92.75,84.29,69.0,52.0,7.25,IN,1635150466.0
86,jiaocheng,24.6774,116.1389,71.69,65.0,100.0,4.18,CN,1635150466.0
87,barentsburg,,,,,,,,
88,pevek,69.7008,170.3133,5.16,95.0,99.0,4.7,RU,1635150468.0
89,chuy,-33.6971,-53.4616,56.93,55.0,0.0,12.97,UY,1635150469.0
90,nova odessa,-22.7775,-47.2958,64.33,86.0,100.0,11.63,BR,1635150469.0
91,richards bay,-28.783,32.0377,70.39,57.0,89.0,6.53,ZA,1635150178.0
92,grand haven,43.0631,-86.2284,46.45,83.0,90.0,8.01,US,1635150471.0
93,luanda,-8.8368,13.2343,77.0,78.0,75.0,6.91,AO,1635150472.0
94,la ronge,55.1001,-105.2842,37.65,75.0,75.0,14.97,CA,1635150473.0
95,mar del plata,-38.0023,-57.5575,62.87,57.0,0.0,1.01,AR,1635150350.0
96,preobrazheniye,42.9019,133.9064,52.48,83.0,0.0,8.16,RU,1635150474.0
97,bredasdorp,-34.5322,20.0403,67.32,56.0,40.0,17.27,ZA,1635150475.0
98,puerto ayora,-0.7393,-90.3518,66.54,100.0,100.0,8.99,EC,1635150476.0
99,luau,-10.7073,22.2247,74.25,64.0,95.0,7.65,AO,1635150477.0
100,aklavik,68.2191,-135.0107,22.03,96.0,100.0,5.44,CA,1635150477.0
101,port alfred,-33.5906,26.891,69.1,57.0,0.0,18.66,ZA,1635150478.0
102,hofn,64.2539,-15.2082,37.42,65.0,0.0,10.36,IS,1635150479.0
103,kurayoshi,35.4333,133.8167,57.02,90.0,100.0,1.7,JP,1635150480.0
104,margate,51.3813,1.3862,57.9,91.0,83.0,1.99,GB,1635150481.0
105,ribeira grande,38.5167,-28.7,61.2,82.0,20.0,5.75,PT,1635150482.0
106,krasnoselkup,65.7,82.4667,22.59,92.0,76.0,13.82,RU,1635150483.0
107,saint-joseph,-21.3667,55.6167,80.98,72.0,32.0,9.6,RE,1635150484.0
108,piney green,34.716,-77.3202,75.13,100.0,1.0,3.44,US,1635150485.0
109,butaritari,3.0707,172.7902,81.68,73.0,8.0,3.11,KI,1635150486.0
110,tsogni,-2.7942,10.0988,78.49,83.0,100.0,8.23,GA,1635150486.0
111,zhanatas,,,,,,,,
112,bluff,-46.6,168.3333,54.3,94.0,100.0,14.79,NZ,1635150488.0
113,pudozh,61.8099,36.5345,32.63,83.0,100.0,8.21,RU,1635150489.0
114,andra,62.5147,65.8878,31.24,80.0,100.0,3.74,RU,1635150490.0
115,bengkulu,-3.8004,102.2655,80.49,77.0,100.0,5.08,ID,1635150490.0
116,hilo,19.7297,-155.09,73.13,92.0,90.0,0.0,US,1635150491.0
117,koryazhma,61.3143,47.1691,31.42,61.0,13.0,10.4,RU,1635150492.0
118,leningradskiy,69.3833,178.4167,3.67,93.0,95.0,8.05,RU,1635150493.0
119,belushya guba,,,,,,,,
120,altamira,-3.2033,-52.2064,71.73,94.0,62.0,2.15,BR,1635150495.0
121,rocha,-34.4833,-54.3333,59.22,45.0,35.0,17.02,UY,1635150496.0
122,nuuk,64.1835,-51.7216,23.61,63.0,0.0,21.85,GL,1635150497.0
123,hobart,-42.8794,147.3294,51.26,77.0,75.0,1.01,AU,1635150286.0
124,okhotsk,59.3833,143.3,22.21,79.0,100.0,3.49,RU,1635150499.0
125,yellowknife,62.456,-114.3525,42.42,99.0,90.0,13.8,CA,1635150499.0
126,matara,5.9485,80.5353,83.98,73.0,100.0,13.71,LK,1635150500.0
127,lamu,-2.2717,40.902,86.22,69.0,45.0,8.68,KE,1635150501.0
128,vardo,70.3705,31.1107,28.38,86.0,40.0,8.05,NO,1635150502.0
129,norman wells,65.282,-126.8329,23.04,93.0,90.0,4.61,CA,1635150503.0
130,tel aviv-yafo,32.0805,34.7805,80.08,59.0,20.0,5.75,IL,1635150504.0
131,kahului,20.8947,-156.47,76.84,88.0,40.0,12.66,US,1635150504.0
132,arraial do cabo,-22.9661,-42.0278,69.76,94.0,90.0,4.61,BR,1635150505.0
133,hithadhoo,-0.6,73.0833,82.9,73.0,75.0,15.43,MV,1635150506.0
134,nieuw nickerie,5.95,-56.9833,78.51,85.0,97.0,12.75,SR,1635150507.0
135,moose factory,51.2585,-80.6094,37.4,93.0,90.0,3.44,CA,1635150508.0
136,anadyr,64.75,177.4833,-10.44,95.0,58.0,9.04,RU,1635150509.0
137,nikolskoye,59.7035,30.7861,44.87,91.0,100.0,12.59,RU,1635150510.0
138,tombouctou,20.0,-3.0,83.82,20.0,3.0,11.23,ML,1635150510.0
139,codrington,-38.2667,141.9667,52.59,70.0,6.0,9.19,AU,1635150511.0
140,mangrol,21.1167,70.1167,83.8,50.0,0.0,8.61,IN,1635150512.0
141,pochutla,15.7432,-96.4661,74.82,85.0,57.0,3.4,MX,1635150513.0
142,bendigo,-36.7667,144.2833,56.86,39.0,2.0,1.99,AU,1635150514.0
143,coihaique,-45.5752,-72.0662,40.95,87.0,75.0,5.75,CL,1635150515.0
144,jijiang,29.2906,106.2542,69.37,69.0,100.0,3.69,CN,1635150515.0
145,buala,-8.145,159.5921,80.26,79.0,51.0,0.49,SB,1635150516.0
146,palmer,42.1584,-72.3287,50.61,83.0,90.0,4.61,US,1635150327.0
147,luderitz,-26.6481,15.1594,66.67,56.0,1.0,5.88,NA,1635150518.0
148,tual,-5.6667,132.75,83.61,69.0,100.0,1.39,ID,1635150519.0
149,puerto del rosario,28.5004,-13.8627,69.55,78.0,20.0,8.05,ES,1635150519.0
150,haines junction,60.7522,-137.5108,13.95,92.0,100.0,1.14,CA,1635150520.0
151,catamarca,-28.4696,-65.7852,67.77,55.0,1.0,7.45,AR,1635150521.0
152,liverpool,53.4106,-2.9779,52.68,86.0,0.0,1.01,GB,1635149886.0
153,hailar,49.2,119.7,45.14,53.0,12.0,10.47,CN,1635150523.0
154,le port,-20.9373,55.2919,82.4,86.0,48.0,7.07,RE,1635150524.0
155,halalo,,,,,,,,
156,upernavik,72.7868,-56.1549,14.16,64.0,2.0,7.14,GL,1635150525.0
157,mucurapo,10.6667,-61.5333,78.85,93.0,100.0,13.35,TT,1635150526.0
158,qaanaaq,77.484,-69.3632,-5.08,59.0,0.0,10.69,GL,1635150527.0
159,torbay,47.6666,-52.7314,46.58,92.0,90.0,28.77,CA,1635150527.0
160,qui nhon,13.7667,109.2333,78.62,86.0,100.0,19.24,VN,1635150528.0
161,coquimbo,-29.9533,-71.3436,51.53,93.0,0.0,4.61,CL,1635150529.0
162,san juan,-31.5375,-68.5364,69.12,23.0,0.0,7.67,AR,1635150530.0
163,poya,-21.35,165.15,73.36,75.0,21.0,8.75,NC,1635150531.0
164,middelburg,-25.7751,29.4648,67.77,54.0,100.0,12.95,ZA,1635150532.0
165,beringovskiy,63.05,179.3167,7.86,86.0,23.0,6.17,RU,1635150532.0
166,jurado,7.1053,-77.7641,76.17,90.0,63.0,2.64,CO,1635150533.0
167,xingyi,24.1877,102.817,63.01,78.0,98.0,5.88,CN,1635150534.0
168,rio gallegos,-51.6226,-69.2181,37.45,52.0,0.0,35.68,AR,1635150535.0
169,birpur,26.5167,87.0167,84.94,56.0,2.0,5.99,IN,1635150536.0
170,horsham,51.064,-0.3272,56.8,80.0,20.0,5.75,GB,1635150536.0
171,bururi,-3.85,29.6333,71.96,55.0,100.0,5.95,BI,1635150537.0
172,nabire,-3.3667,135.4833,79.41,86.0,98.0,0.87,ID,1635150538.0
173,tura,25.5198,90.2201,78.73,70.0,11.0,2.46,IN,1635150539.0
174,tevaitoa,-16.7833,-151.5,77.67,83.0,99.0,9.53,PF,1635150540.0
175,urdoma,61.7533,48.5442,30.78,67.0,75.0,10.31,RU,1635150541.0
176,sept-iles,50.2001,-66.3821,41.05,82.0,20.0,1.99,CA,1635150542.0
177,mahebourg,-20.4081,57.7,80.26,78.0,75.0,14.97,MU,1635150543.0
178,cayenne,4.9333,-52.3333,80.1,88.0,75.0,4.0,GF,1635150544.0
179,izhma,65.0083,53.9113,27.05,85.0,100.0,6.76,RU,1635150545.0
180,ajdabiya,30.7554,20.2263,78.01,29.0,100.0,22.64,LY,1635150546.0
181,amderma,,,,,,,,
182,higuey,,,,,,,,
183,georgetown,5.4112,100.3354,87.89,73.0,40.0,9.22,MY,1635150434.0
184,westport,41.1415,-73.3579,64.8,92.0,90.0,5.01,US,1635150455.0
185,nioro,13.35,-15.75,78.06,88.0,99.0,3.56,GM,1635150549.0
186,shakawe,-18.3667,21.85,88.63,35.0,10.0,6.33,BW,1635150550.0
187,dikson,73.5069,80.5464,11.93,88.0,100.0,20.69,RU,1635150550.0
188,muisne,0.6,-80.0333,74.91,90.0,100.0,9.69,EC,1635150551.0
189,esperance,-33.8667,121.9,62.44,79.0,100.0,20.04,AU,1635150552.0
190,tasiilaq,65.6145,-37.6368,30.36,80.0,100.0,41.76,GL,1635150553.0
191,yar-sale,66.8333,70.8333,24.48,80.0,86.0,8.97,RU,1635150554.0
192,bandarbeyla,9.4942,50.8122,82.27,61.0,4.0,7.54,SO,1635150555.0
193,eyl,7.9803,49.8164,84.54,60.0,26.0,11.63,SO,1635150555.0
194,mount gambier,-37.8333,140.7667,53.51,71.0,90.0,12.66,AU,1635150556.0
195,katsuura,35.1333,140.3,63.19,63.0,100.0,14.76,JP,1635150557.0
196,chengdu,30.6667,104.0667,60.69,88.0,75.0,6.71,CN,1635150558.0
197,kodiak,57.79,-152.4072,41.74,85.0,87.0,4.56,US,1635150559.0
198,namibe,-15.1961,12.1522,72.12,60.0,11.0,6.22,AO,1635150560.0
199,pristina,42.6727,21.1669,45.25,74.0,20.0,5.01,XK,1635150319.0
200,edson,53.5835,-116.4356,42.94,87.0,90.0,6.91,CA,1635150561.0
201,pisco,-13.7,-76.2167,57.25,94.0,1.0,10.36,PE,1635150562.0
202,chanute,37.6792,-95.4572,52.88,93.0,1.0,9.22,US,1635150563.0
203,eravur,7.7733,81.6095,87.42,62.0,81.0,11.45,LK,1635150564.0
204,barcelona,41.3888,2.159,65.14,79.0,20.0,1.99,ES,1635150346.0
205,gulshat,,,,,,,,
206,guider,9.9342,13.9486,88.68,44.0,98.0,4.27,CM,1635150566.0
207,thompson,55.7435,-97.8558,24.96,93.0,1.0,2.3,CA,1635150566.0
208,longyearbyen,78.2186,15.6401,21.04,63.0,75.0,11.5,SJ,1635150567.0
209,gat,31.61,34.7642,78.78,25.0,0.0,6.44,IL,1635150568.0
210,lokosovo,61.1333,74.8167,33.55,66.0,75.0,7.43,RU,1635150569.0
211,guerrero negro,27.9769,-114.0611,64.11,84.0,18.0,10.2,MX,1635150570.0
212,lebu,-37.6167,-73.65,52.65,94.0,81.0,3.87,CL,1635150571.0
213,cabo san lucas,22.8909,-109.9124,77.5,77.0,62.0,1.99,MX,1635150571.0
214,barcs,45.96,17.4586,45.63,59.0,0.0,7.72,HU,1635150572.0
215,skopin,53.8249,39.5505,34.68,62.0,46.0,10.0,RU,1635150573.0
216,bukan,36.521,46.2089,65.43,17.0,0.0,6.22,IR,1635150574.0
217,ust-tsilma,65.441,52.1498,25.36,88.0,97.0,4.9,RU,1635150575.0
218,zhanakorgan,43.9098,67.2495,64.49,23.0,97.0,5.53,KZ,1635150575.0
219,marion,39.7684,-86.1555,61.56,94.0,90.0,16.11,US,1635150557.0
220,grand forks,47.9417,-97.4337,31.93,90.0,1.0,3.44,US,1635150577.0
221,buchanan,5.8808,-10.0467,78.76,89.0,100.0,2.33,LR,1635150578.0
222,ibanda,-2.7974,32.4746,84.61,42.0,83.0,5.17,TZ,1635150579.0
223,pemangkat,1.1667,108.9667,85.01,68.0,91.0,8.77,ID,1635150579.0
224,kavieng,-2.5744,150.7967,83.39,71.0,85.0,6.73,PG,1635150580.0
225,kedrovka,55.5333,86.05,54.48,59.0,100.0,17.72,RU,1635150581.0
226,ilulissat,69.2167,-51.1,12.22,62.0,4.0,2.3,GL,1635150582.0
227,saint simons,31.1352,-81.3901,76.01,97.0,75.0,0.0,US,1635150583.0
228,derzhavinsk,51.1,66.3167,54.28,35.0,100.0,14.18,KZ,1635150584.0
229,victoria,22.2855,114.1577,81.25,70.0,96.0,1.01,HK,1635150442.0
230,chernyshevskiy,63.0128,112.4714,32.09,97.0,100.0,7.87,RU,1635150585.0
231,channel-port aux basques,47.5702,-59.1367,47.26,84.0,100.0,17.45,CA,1635150586.0
232,kruisfontein,-34.0033,24.7314,67.89,48.0,0.0,9.24,ZA,1635150587.0
233,iqaluit,63.7506,-68.5145,29.93,80.0,90.0,8.99,CA,1635150587.0
234,khatanga,71.9667,102.5,3.45,91.0,100.0,14.99,RU,1635150588.0
235,khrebtovaya,56.7032,104.2494,36.34,87.0,100.0,9.17,RU,1635150589.0
236,bathsheba,13.2167,-59.5167,81.21,74.0,40.0,23.02,BB,1635150590.0
237,chany,55.3121,76.7647,50.38,47.0,92.0,16.46,RU,1635150591.0
238,sentyabrskiy,,,,,,,,
239,tucuma,-0.1833,-50.05,76.62,92.0,18.0,5.06,BR,1635150592.0
240,doha,25.2867,51.5333,93.51,58.0,20.0,9.22,QA,1635150555.0
241,corrales,35.2378,-106.6067,61.0,35.0,1.0,1.01,US,1635150594.0
242,batticaloa,7.7102,81.6924,85.86,65.0,87.0,11.54,LK,1635150492.0
243,hue,16.4667,107.6,73.56,90.0,100.0,8.14,VN,1635150595.0
244,esqueda,30.7167,-109.5833,59.61,61.0,3.0,2.62,MX,1635150596.0
245,saraza,8.7356,117.78,83.34,69.0,63.0,4.97,PH,1635150597.0
246,carnarvon,-24.8667,113.6333,71.67,64.0,40.0,20.71,AU,1635150598.0
247,turayf,31.6725,38.6637,75.45,31.0,0.0,16.11,SA,1635150598.0
248,la salle,41.3334,-89.0918,50.7,92.0,90.0,20.71,US,1635150599.0
249,cherskiy,68.75,161.3,-16.89,98.0,55.0,3.22,RU,1635150600.0
250,kamina,-8.7386,24.9906,73.6,70.0,90.0,3.09,CD,1635150601.0
251,flinders,-34.5833,150.8552,61.38,64.0,6.0,6.67,AU,1635150603.0
252,novoagansk,61.9449,76.6625,30.22,70.0,51.0,7.54,RU,1635150604.0
253,cosala,24.4125,-106.6908,66.52,72.0,0.0,3.51,MX,1635150605.0
254,mwense,-10.3845,28.698,98.98,23.0,97.0,1.05,ZM,1635150607.0
255,mechanicsville,37.6088,-77.3733,64.42,92.0,90.0,10.36,US,1635150371.0
256,isangel,-19.55,169.2667,74.79,80.0,81.0,11.36,VU,1635150609.0
257,pionerskiy,54.9508,20.2275,42.64,63.0,15.0,20.29,RU,1635150610.0
258,hasaki,35.7333,140.8333,63.0,52.0,100.0,12.33,JP,1635150592.0
259,eureka,40.8021,-124.1637,52.63,94.0,100.0,4.0,US,1635150612.0
260,ancud,-41.8697,-73.8203,49.53,95.0,100.0,14.56,CL,1635150613.0
261,yulara,-25.2406,130.9889,93.04,20.0,4.0,8.05,AU,1635150614.0
262,nizhneyansk,,,,,,,,
263,harper,4.375,-7.7169,78.64,80.0,99.0,7.34,LR,1635150616.0
264,banda aceh,5.5577,95.3222,82.49,76.0,95.0,10.69,ID,1635150617.0
265,andilamena,-17.0167,48.5833,77.99,53.0,11.0,12.91,MG,1635150617.0
266,geraldton,-28.7667,114.6,66.61,55.0,90.0,20.71,AU,1635150618.0
267,kununurra,-15.7667,128.7333,85.98,58.0,40.0,13.8,AU,1635150619.0
268,nyurba,63.2842,118.3319,33.42,98.0,100.0,5.5,RU,1635150620.0
269,galiwinku,,,,,,,,
270,severo-kurilsk,50.6789,156.125,38.7,73.0,73.0,10.4,RU,1635150622.0
271,huambo,-12.7761,15.7392,80.4,30.0,91.0,6.55,AO,1635150623.0
272,uni,57.7535,51.4923,32.94,71.0,100.0,15.17,RU,1635150624.0
273,samusu,,,,,,,,
274,finote selam,10.7,37.2667,74.23,46.0,16.0,4.7,ET,1635150625.0
275,porto velho,-8.7619,-63.9039,73.45,94.0,40.0,8.05,BR,1635150626.0
276,eydhafushi,5.1033,73.0708,81.54,77.0,100.0,12.86,MV,1635150627.0
277,dzhusaly,,,,,,,,
278,slave lake,55.2834,-114.769,40.98,93.0,90.0,10.36,CA,1635150619.0
279,pangnirtung,66.1451,-65.7125,19.67,86.0,95.0,1.41,CA,1635150629.0
280,ust-abakan,53.8525,91.3742,51.71,58.0,0.0,11.18,RU,1635150631.0
281,imbituba,-28.24,-48.6703,60.82,76.0,0.0,4.52,BR,1635150591.0
282,san patricio,28.017,-97.5169,79.9,95.0,0.0,5.46,US,1635150632.0
283,saint-francois,46.4154,3.9054,46.67,100.0,20.0,2.3,FR,1635150633.0
284,tsihombe,,,,,,,,
285,duku,11.2361,4.9073,88.72,39.0,68.0,2.71,NG,1635150635.0
286,opobo,,,,,,,,
287,westpunt,,,,,,,,
288,lagoa,39.05,-27.9833,66.36,77.0,59.0,6.49,PT,1635150637.0
289,yumen,40.2833,97.2,52.02,27.0,100.0,13.62,CN,1635150638.0
290,atar,20.5169,-13.0499,89.1,18.0,45.0,5.3,MR,1635150638.0
291,suyo,16.9762,120.5254,79.47,89.0,100.0,2.42,PH,1635150639.0
292,agadez,19.75,10.25,89.19,11.0,2.0,3.94,NE,1635150640.0
293,belmonte,-15.8631,-38.8828,75.7,90.0,98.0,5.73,BR,1635150641.0
294,imbatug,8.0544,125.2839,76.42,90.0,99.0,1.59,PH,1635150642.0
295,soyo,-6.1349,12.3689,78.57,79.0,100.0,6.55,AO,1635150643.0
296,komsomolskiy,40.4272,71.7189,65.12,22.0,0.0,4.61,UZ,1635150644.0
297,honningsvag,70.9821,25.9704,31.75,74.0,20.0,9.22,NO,1635150644.0
298,erzin,36.9559,36.2,75.72,38.0,13.0,5.28,TR,1635150645.0
299,cap malheureux,-19.9842,57.6142,79.47,64.0,58.0,14.0,MU,1635150646.0
300,novikovo,51.1537,37.8879,40.23,47.0,9.0,9.1,RU,1635150647.0
301,port lincoln,-34.7333,135.8667,58.6,65.0,21.0,11.16,AU,1635150648.0
302,fort saint john,,,,,,,,
303,shelui,-4.3667,34.2,90.75,27.0,98.0,1.48,TZ,1635150649.0
304,pathein,16.7833,94.7333,83.3,79.0,100.0,6.22,MM,1635150650.0
305,itarema,-2.9248,-39.9167,79.77,71.0,97.0,13.2,BR,1635150651.0
306,vila velha,-20.3297,-40.2925,75.15,73.0,75.0,13.8,BR,1635150652.0
307,santa cruz,-17.8,-63.1667,63.86,77.0,78.0,3.44,BO,1635150653.0
308,bilma,18.6853,12.9164,91.44,12.0,5.0,9.57,NE,1635150654.0
309,aksay,47.26,39.87,46.62,39.0,38.0,10.67,RU,1635150655.0
310,homer,59.6425,-151.5483,40.05,91.0,75.0,3.44,US,1635150656.0
311,chagda,,,,,,,,
312,sorong,-0.8833,131.25,82.26,78.0,100.0,9.69,ID,1635150657.0
313,mabamba,-3.5983,30.5019,85.12,37.0,100.0,6.91,TZ,1635150658.0
314,changji,44.0167,87.3167,54.39,32.0,0.0,4.47,CN,1635150659.0
315,sorland,67.667,12.6934,39.27,91.0,100.0,5.61,NO,1635150660.0
316,constitucion,-35.3333,-72.4167,52.75,88.0,0.0,9.71,CL,1635150661.0
317,matagami,49.7502,-77.6328,32.11,92.0,90.0,5.75,CA,1635150662.0
318,okha,53.5739,142.9478,36.63,88.0,15.0,7.16,RU,1635150664.0
319,lupiro,-8.3833,36.6667,93.0,31.0,56.0,6.87,TZ,1635150664.0
320,qaqortoq,60.7167,-46.0333,28.9,61.0,6.0,4.16,GL,1635150665.0
321,ekibastuz,51.6667,75.3667,57.97,31.0,74.0,13.87,KZ,1635150666.0
322,sulangan,11.1373,123.7228,84.54,73.0,97.0,7.58,PH,1635150667.0
323,nevelsk,46.6733,141.8633,48.63,81.0,0.0,10.18,RU,1635150668.0
324,hanzhong,33.0728,107.0303,58.3,81.0,100.0,1.48,CN,1635150669.0
325,bambous virieux,-20.3428,57.7575,79.21,78.0,75.0,14.97,MU,1635150670.0
326,tchaourou,8.8865,2.5975,82.94,65.0,35.0,1.32,BJ,1635150671.0
327,kapit,2.0167,112.9333,82.06,89.0,59.0,1.79,MY,1635150672.0
328,faanui,-16.4833,-151.75,77.85,82.0,100.0,8.86,PF,1635150673.0
329,cidreira,-30.1811,-50.2056,57.49,74.0,0.0,9.08,BR,1635150674.0
330,ambodifototra,,,,,,,,
331,vila franca do campo,37.7167,-25.4333,61.21,80.0,68.0,2.42,PT,1635150675.0
332,port macquarie,-31.4333,152.9167,66.16,82.0,3.0,4.18,AU,1635150676.0
333,kalemie,-5.9475,29.1947,83.16,54.0,100.0,5.03,CD,1635150677.0
334,paciran,-6.8767,112.3761,86.79,63.0,43.0,11.45,ID,1635150678.0
335,januaria,-15.4833,-44.3667,70.43,89.0,100.0,2.55,BR,1635150679.0
336,parfino,57.9731,31.6481,41.02,79.0,100.0,11.43,RU,1635150680.0
337,comoapan,18.4167,-95.1667,73.72,89.0,24.0,3.8,MX,1635150681.0
338,pachino,36.7186,15.0907,69.84,67.0,77.0,7.76,IT,1635150682.0
